pair,rung,side,cell,ticks,spread,mass_error,seconds
control-c6-vs-p6,control,0,canonical,4,5.551115e-17,6.66e-16,3.4
control-c6-vs-p6,control,0,ladder,4,1.110223e-16,1.55e-15,3.4
control-c6-vs-p6,control,0,generic,4,5.268331e-03,1.11e-15,3.4
control-c6-vs-p6,control,1,canonical,4,5.551115e-17,2.00e-15,2.6
control-c6-vs-p6,control,1,ladder,4,1.387779e-17,2.22e-16,2.4
control-c6-vs-p6,control,1,generic,4,9.860163e-03,1.55e-15,2.7
control-k15-vs-p6,control,0,canonical,4,1.387779e-17,2.66e-15,11.6
control-k15-vs-p6,control,0,ladder,4,1.387779e-17,6.66e-16,11.5
control-k15-vs-p6,control,0,generic,4,1.110223e-16,3.33e-16,11.6
control-k15-vs-p6,control,1,canonical,4,5.551115e-17,2.00e-15,2.4
control-k15-vs-p6,control,1,ladder,4,1.387779e-17,2.22e-16,2.8
control-k15-vs-p6,control,1,generic,4,9.860163e-03,1.55e-15,2.7
regular-24,1fwl-blind,0,canonical,4,5.551115e-17,1.89e-15,12.7
regular-24,1fwl-blind,0,ladder,4,6.938894e-18,9.99e-16,12.4
regular-24,1fwl-blind,0,generic,4,1.394736e-02,8.88e-16,13.0
regular-24,1fwl-blind,1,canonical,4,1.110223e-16,7.77e-16,13.1
regular-24,1fwl-blind,1,ladder,4,6.938894e-18,4.44e-16,13.3
regular-24,1fwl-blind,1,generic,4,2.508099e-02,1.22e-15,13.3
regular-47,1fwl-blind,0,canonical,4,2.081668e-17,3.33e-16,30.2
regular-47,1fwl-blind,0,ladder,4,5.551115e-17,2.22e-15,29.8
regular-47,1fwl-blind,0,generic,4,4.225298e-03,1.78e-15,31.2
regular-47,1fwl-blind,1,canonical,4,6.938894e-18,1.67e-15,31.7
regular-47,1fwl-blind,1,ladder,4,1.110223e-16,5.55e-16,31.5
regular-47,1fwl-blind,1,generic,4,4.926630e-03,2.00e-15,32.0
extension-09,1fwl-blind,0,canonical,4,5.551115e-17,1.22e-15,11.8
extension-09,1fwl-blind,0,ladder,4,1.387779e-17,5.55e-16,11.3
extension-09,1fwl-blind,0,generic,4,5.186699e-03,2.22e-15,12.4
extension-09,1fwl-blind,1,canonical,4,5.551115e-17,5.55e-16,12.0
extension-09,1fwl-blind,1,ladder,4,6.938894e-18,8.88e-16,11.5
extension-09,1fwl-blind,1,generic,4,7.245001e-03,2.66e-15,12.0
extension-43,1fwl-blind,0,canonical,4,1.387779e-16,6.66e-16,11.7
extension-43,1fwl-blind,0,ladder,4,5.551115e-17,2.22e-16,11.6
extension-43,1fwl-blind,0,generic,4,5.185978e-03,1.22e-15,11.6
extension-43,1fwl-blind,1,canonical,4,8.326673e-17,2.22e-16,11.6
extension-43,1fwl-blind,1,ladder,4,5.551115e-17,1.11e-16,12.0
extension-43,1fwl-blind,1,generic,4,6.452051e-03,1.11e-15,12.2
classic-2c3-vs-c6,1fwl-blind,0,canonical,4,5.551115e-17,1.55e-15,3.8
classic-2c3-vs-c6,1fwl-blind,0,ladder,4,6.938894e-18,2.44e-15,3.7
classic-2c3-vs-c6,1fwl-blind,0,generic,4,4.389183e-03,1.22e-15,3.6
classic-2c3-vs-c6,1fwl-blind,1,canonical,4,5.551115e-17,6.66e-16,3.6
classic-2c3-vs-c6,1fwl-blind,1,ladder,4,1.110223e-16,1.55e-15,3.5
classic-2c3-vs-c6,1fwl-blind,1,generic,4,5.268331e-03,1.11e-15,3.3
