pair,rung,model,ticks,engine,ensemble,separation,mass_error,seconds,notes
control-c6-vs-p6,control,passive,8,exact,all-pairs,2.779023e-02,4.44e-16,1.3,
control-c6-vs-p6,control,bell,8,exact,all-pairs,2.013740e-02,4.66e-15,8.1,
control-c6-vs-p6,control,active,8,exact,all-pairs,2.779023e-02,4.44e-16,2.5,
control-k15-vs-p6,control,passive,8,exact,all-pairs,1.000456e-02,1.33e-15,3.7,
control-k15-vs-p6,control,bell,8,exact,all-pairs,6.158723e-03,4.22e-15,13.7,
control-k15-vs-p6,control,active,8,exact,all-pairs,1.000456e-02,1.44e-15,7.9,
regular-24,1fwl-blind,passive,8,exact,all-pairs,2.966819e-03,0.00e+00,3.3,
regular-24,1fwl-blind,bell,8,exact,all-pairs,1.506113e-03,4.22e-15,25.2,
regular-24,1fwl-blind,active,8,exact,all-pairs,3.909745e-03,0.00e+00,9.2,
regular-47,1fwl-blind,passive,8,exact,all-pairs,3.308998e-03,1.11e-16,4.4,
regular-47,1fwl-blind,bell,8,exact,all-pairs,1.257646e-03,2.11e-15,21.9,
regular-47,1fwl-blind,active,8,exact,all-pairs,4.773767e-03,2.22e-16,7.8,
extension-09,1fwl-blind,passive,8,exact,all-pairs,3.251141e-03,3.33e-16,6.6,
extension-09,1fwl-blind,bell,8,exact,all-pairs,1.779945e-03,2.66e-15,50.4,
extension-09,1fwl-blind,active,8,exact,all-pairs,3.339339e-03,3.33e-16,16.4,
extension-43,1fwl-blind,passive,8,exact,all-pairs,4.078223e-03,2.22e-16,4.6,
extension-43,1fwl-blind,bell,8,exact,all-pairs,2.391482e-03,1.55e-15,32.6,
extension-43,1fwl-blind,active,8,exact,all-pairs,4.139143e-03,1.11e-16,20.3,
classic-2c3-vs-c6,1fwl-blind,passive,8,exact,all-pairs,9.314652e-03,0.00e+00,1.0,
classic-2c3-vs-c6,1fwl-blind,bell,8,exact,all-pairs,4.465975e-03,4.66e-15,6.7,
classic-2c3-vs-c6,1fwl-blind,active,8,exact,all-pairs,1.403183e-02,0.00e+00,2.5,
str-00,2fwl-blind,passive,8,exact,all-pairs,6.938894e-18,4.00e-15,51.5,
str-00,2fwl-blind,bell,8,exact,all-pairs,3.469447e-18,1.78e-15,365.7,
str-00,2fwl-blind,active,8,exact,all-pairs,7.837091e-04,4.00e-15,106.5,
str-08,2fwl-blind,passive,8,exact,all-pairs,1.734723e-18,2.22e-15,262.0,
